FID,publicid,origintime,longitude,latitude,depth,magnitude,magnitudetype,status,phases,type,agency,updatetime,origin_geom
quake.2013p545894,2013p545894,2013-07-21T23:32:20.482,174.4786,-41.7102,5.1172,2.5493,M,automatic,25,,WEL(GNS_Primary),2013-07-21T23:34:27.794,POINT (174.47865 -41.710181)
quake.2013p545888,2013p545888,2013-07-21T23:29:13.733,174.2721,-41.6184,5.0586,2.1766,M,automatic,19,,WEL(GNS_Primary),2013-07-21T23:31:14.077,POINT (174.27209 -41.618411)
quake.2013p545882,2013p545882,2013-07-21T23:26:13.563,174.3303,-41.6157,8.1641,2.1398,M,automatic,10,,WEL(GNS_Primary),2013-07-21T23:27:48.23,POINT (174.33033 -41.615744)
quake.2013p545875,2013p545875,2013-07-21T23:22:24.946,174.2629,-41.6181,5.0586,2.9311,M,automatic,40,,WEL(GNS_Primary),2013-07-22T05:16:21.721,POINT (174.26287 -41.61814)
quake.2013p545872,2013p545872,2013-07-21T23:21:04.458,174.2574,-41.5352,5.1172,2.0221,M,automatic,13,,WEL(GNS_Primary),2013-07-21T23:22:54.173,POINT (174.25742 -41.535192)
quake.2013p545866,2013p545866,2013-07-21T23:17:33.67,174.3215,-41.5919,7.8711,2.8825,M,automatic,36,,WEL(GNS_Primary),2013-07-22T05:15:33.962,POINT (174.3215 -41.591921)
quake.2013p545861,2013p545861,2013-07-21T23:15:22.791,174.3198,-41.5508,15.0025,2.3908,M,reviewed,14,,WEL(GNS_Primary),2013-07-22T04:10:28.949,POINT (174.31984 -41.550792)
quake.2013p545854,2013p545854,2013-07-21T23:11:14.163,174.2696,-41.5829,6.582,2.8071,M,automatic,38,,WEL(GNS_Primary),2013-07-21T23:13:35.929,POINT (174.26963 -41.582888)
quake.2013p545851,2013p545851,2013-07-21T23:09:29.23,174.2498,-41.6182,5.0586,2.3315,M,automatic,16,,WEL(GNS_Primary),2013-07-21T23:11:13.993,POINT (174.24975 -41.618172)
quake.2013p545849,2013p545849,2013-07-21T23:08:24.076,174.3722,-41.6566,15.0781,2.511,M,automatic,15,,WEL(GNS_Primary),2013-07-21T23:10:26.894,POINT (174.37218 -41.656594)
quake.2013p545846,2013p545846,2013-07-21T23:06:59.92,174.1818,-41.6189,5.1172,2.2845,M,automatic,18,,WEL(GNS_Primary),2013-07-21T23:08:56.16,POINT (174.18177 -41.618884)
quake.2013p545840,2013p545840,2013-07-21T23:04:01.485,174.1781,-41.6227,5.0586,2.45,M,automatic,18,,WEL(GNS_Primary),2013-07-21T23:05:55.721,POINT (174.1781 -41.622739)
quake.2013p545836,2013p545836,2013-07-21T23:01:34.22,174.2548,-41.5996,5.0586,3.2485,M,automatic,41,,WEL(GNS_Primary),2013-07-21T23:03:53.18,POINT (174.25483 -41.599553)
quake.2013p545829,2013p545829,2013-07-21T22:57:44.742,174.2963,-41.7103,15.1775,3.8876,M,reviewed,49,,WEL(GNS_Primary),2013-07-21T23:30:38.708,POINT (174.29634 -41.710251)
quake.2013p545818,2013p545818,2013-07-21T22:52:19.213,174.1588,-41.5556,10.2734,2.831,M,automatic,14,,WEL(GNS_Primary),2013-07-21T22:54:07.945,POINT (174.15883 -41.555647)
quake.2013p545816,2013p545816,2013-07-21T22:51:09.502,174.2537,-41.6227,5.1172,3.3299,M,automatic,18,,WEL(GNS_Primary),2013-07-21T22:54:07.944,POINT (174.25372 -41.622667)
quake.2013p545814,2013p545814,2013-07-21T22:50:01.947,174.2479,-41.4749,7.2266,3.5925,M,automatic,17,,WEL(GNS_Primary),2013-07-21T22:53:17.245,POINT (174.24787 -41.474853)
quake.2013p545809,2013p545809,2013-07-21T22:47:24.528,174.2582,-41.6132,16.9531,5.1713,M,reviewed,76,,WEL(GNS_Primary),2013-07-21T23:21:19.913,POINT (174.2582 -41.613207)
quake.2013p545804,2013p545804,2013-07-21T22:44:51.013,174.2766,-41.6294,5.0586,2.293,M,automatic,28,,WEL(GNS_Primary),2013-07-21T22:48:32.971,POINT (174.27664 -41.629388)
quake.2013p545796,2013p545796,2013-07-21T22:40:31.129,174.4366,-41.5213,9.5703,3.0038,M,automatic,61,,WEL(GNS_Primary),2013-07-21T22:43:45.202,POINT (174.43663 -41.521283)
quake.2013p545794,2013p545794,2013-07-21T22:39:26.452,174.1949,-41.6754,5.0586,2.5734,M,automatic,19,,WEL(GNS_Primary),2013-07-21T22:41:53.609,POINT (174.19494 -41.675368)
quake.2013p545787,2013p545787,2013-07-21T22:35:35.376,174.2242,-41.4683,42.3828,1.8362,M,automatic,13,,WEL(GNS_Primary),2013-07-21T22:38:01.814,POINT (174.22421 -41.468317)
quake.2013p545780,2013p545780,2013-07-21T22:31:56.966,174.425,-41.527,16.4258,3.8922,M,automatic,89,,WEL(GNS_Primary),2013-07-21T22:35:55.776,POINT (174.42502 -41.526988)
quake.2013p545774,2013p545774,2013-07-21T22:28:31.364,174.2738,-41.5916,15.8984,2.77,M,automatic,37,,WEL(GNS_Primary),2013-07-21T22:30:41.01,POINT (174.27375 -41.591559)
quake.2013p545768,2013p545768,2013-07-21T22:25:26.883,174.8174,-41.3424,5.1172,2.2295,M,automatic,21,,WEL(GNS_Primary),2013-07-21T22:28:15.524,POINT (174.81741 -41.342357)
quake.2013p545767,2013p545767,2013-07-21T22:25:00.489,174.4108,-41.5297,5.1172,2.5186,M,automatic,11,,WEL(GNS_Primary),2013-07-21T22:26:35.719,POINT (174.41076 -41.529697)
quake.2013p545761,2013p545761,2013-07-21T22:22:40.977,174.0756,-41.7805,77.1875,2.0073,M,automatic,12,,WEL(GNS_Primary),2013-07-21T22:24:49.834,POINT (174.0756 -41.780517)
quake.2013p545758,2013p545758,2013-07-21T22:19:52.414,174.3359,-41.4941,5.5859,2.5094,M,automatic,15,,WEL(GNS_Primary),2013-07-21T22:21:47.417,POINT (174.33587 -41.494128)
quake.2013p545753,2013p545753,2013-07-21T22:18:38.387,174.3084,-41.5974,6.3477,2.5925,M,automatic,31,,WEL(GNS_Primary),2013-07-21T22:21:07.606,POINT (174.30836 -41.597373)
quake.2013p545751,2013p545751,2013-07-21T22:16:35.664,174.2195,-41.6559,5.1172,2.301,M,automatic,14,,WEL(GNS_Primary),2013-07-21T22:19:27.38,POINT (174.21946 -41.65586)
quake.2013p545747,2013p545747,2013-07-21T22:14:42.218,174.3304,-41.5941,11.2109,2.9288,M,automatic,54,,WEL(GNS_Primary),2013-07-21T22:18:22.352,POINT (174.33044 -41.594061)
quake.2013p545746,2013p545746,2013-07-21T22:13:40.625,174.3646,-41.55,10.9766,2.5077,M,automatic,28,,WEL(GNS_Primary),2013-07-21T22:15:34.455,POINT (174.36465 -41.550026)
quake.2013p545742,2013p545742,2013-07-21T22:11:41.325,174.2011,-41.5615,20.2344,1.9273,M,automatic,11,,WEL(GNS_Primary),2013-07-21T22:13:16.299,POINT (174.20112 -41.561479)
quake.2013p545733,2013p545733,2013-07-21T22:07:33.61,174.3651,-41.5999,13.7305,3.5879,M,automatic,80,,WEL(GNS_Primary),2013-07-21T22:11:24.153,POINT (174.36506 -41.599875)
quake.2013p545721,2013p545721,2013-07-21T22:00:25.473,174.2468,-41.5184,5.4102,3.0335,M,automatic,33,,WEL(GNS_Primary),2013-07-21T22:05:09.195,POINT (174.24681 -41.518406)
quake.2013p545717,2013p545717,2013-07-21T21:58:25.747,174.6198,-41.7172,67.5781,1.9128,M,automatic,10,,WEL(GNS_Primary),2013-07-21T22:00:03.514,POINT (174.61978 -41.717243)
quake.2013p545715,2013p545715,2013-07-21T21:56:59.391,174.2779,-41.5948,5.0586,1.9988,M,automatic,17,,WEL(GNS_Primary),2013-07-21T21:58:58.76,POINT (174.27789 -41.594809)
quake.2013p545706,2013p545706,2013-07-21T21:52:28.121,174.2278,-41.6359,5.0586,3.3892,M,automatic,58,,WEL(GNS_Primary),2013-07-21T21:55:58.773,POINT (174.22784 -41.635878)
quake.2013p545702,2013p545702,2013-07-21T21:50:06.907,174.2882,-41.5509,5.0586,2.7192,M,automatic,34,,WEL(GNS_Primary),2013-07-21T21:52:33.085,POINT (174.28823 -41.550905)
quake.2013p545695,2013p545695,2013-07-21T21:46:30.894,174.1426,-41.6075,9.8633,2.3946,M,automatic,19,,WEL(GNS_Primary),2013-07-21T21:49:43.737,POINT (174.14259 -41.607513)
quake.2013p545693,2013p545693,2013-07-21T21:45:26.334,174.3113,-41.5985,5.1172,2.4005,M,automatic,11,,WEL(GNS_Primary),2013-07-21T21:47:49.069,POINT (174.31128 -41.598502)
quake.2013p545685,2013p545685,2013-07-21T21:41:05.087,174.22,-41.6208,5.1172,3.071,M,automatic,57,,WEL(GNS_Primary),2013-07-21T21:44:42.22,POINT (174.22004 -41.620843)
quake.2013p545679,2013p545679,2013-07-21T21:37:50.391,174.3754,-41.6402,5.0586,2.0964,M,automatic,20,,WEL(GNS_Primary),2013-07-21T21:39:49.511,POINT (174.37535 -41.640214)
quake.2013p545674,2013p545674,2013-07-21T21:35:37.344,174.281,-41.5634,5.1172,2.1525,M,automatic,17,,WEL(GNS_Primary),2013-07-21T21:37:38.059,POINT (174.28099 -41.563412)
quake.2013p545660,2013p545660,2013-07-21T21:28:40.346,174.4125,-41.5179,15.6055,3.0722,M,automatic,67,,WEL(GNS_Primary),2013-07-21T21:31:52.288,POINT (174.41248 -41.517862)
quake.2013p545636,2013p545636,2013-07-21T21:14:55.899,174.2592,-41.6376,10.918,3.2212,M,automatic,66,,WEL(GNS_Primary),2013-07-21T21:18:34.207,POINT (174.25921 -41.637635)
quake.2013p545629,2013p545629,2013-07-21T21:11:16.782,174.5634,-41.4967,18.2422,2.2738,M,automatic,23,,WEL(GNS_Primary),2013-07-21T21:14:29.326,POINT (174.56339 -41.496658)
quake.2013p545623,2013p545623,2013-07-21T21:09:05.383,174.2646,-41.6478,5.0586,3.1082,M,automatic,36,,WEL(GNS_Primary),2013-07-21T21:11:55.227,POINT (174.26465 -41.647804)
quake.2013p545616,2013p545616,2013-07-21T21:04:24.712,174.2553,-41.6325,5.0586,2.5895,M,automatic,27,,WEL(GNS_Primary),2013-07-21T21:06:46.509,POINT (174.25534 -41.632516)
quake.2013p545614,2013p545614,2013-07-21T21:03:25.056,174.2127,-41.4839,5.0293,2.0248,M,automatic,11,,WEL(GNS_Primary),2013-07-21T21:05:00.22,POINT (174.21266 -41.48393)
quake.2013p545609,2013p545609,2013-07-21T21:00:28.375,174.3905,-41.5416,8.6328,2.4066,M,automatic,28,,WEL(GNS_Primary),2013-07-21T21:02:51.344,POINT (174.39053 -41.541612)
quake.2013p545606,2013p545606,2013-07-21T20:59:12.561,174.335,-41.5786,6.3477,2.5951,M,automatic,34,,WEL(GNS_Primary),2013-07-21T21:01:29.127,POINT (174.33503 -41.578556)
quake.2013p545592,2013p545592,2013-07-21T20:51:48.359,174.2903,-41.5841,9.9219,2.5439,M,automatic,39,,WEL(GNS_Primary),2013-07-21T20:53:55.814,POINT (174.29026 -41.584121)
quake.2013p545587,2013p545587,2013-07-21T20:48:48.02,174.3994,-41.6395,6.9922,2.3811,M,automatic,27,,WEL(GNS_Primary),2013-07-21T20:51:53.896,POINT (174.39938 -41.63946)
quake.2013p545579,2013p545579,2013-07-21T20:45:42.159,174.412,-41.4897,12.8516,3.1969,M,reviewed,14,earthquake,WEL(GNS_Primary),2013-07-21T22:24:40.519,POINT (174.41196 -41.489696)
quake.2013p545581,2013p545581,2013-07-21T20:45:42.09,174.4115,-41.5139,15.8984,3.2124,M,automatic,70,,WEL(GNS_Primary),2013-07-21T20:49:21.512,POINT (174.41152 -41.513872)
quake.2013p545576,2013p545576,2013-07-21T20:42:55.194,174.2397,-41.5249,5.0586,2.2111,M,automatic,12,,WEL(GNS_Primary),2013-07-21T20:44:37.084,POINT (174.23969 -41.524869)
quake.2013p545573,2013p545573,2013-07-21T20:41:35.616,174.2785,-41.6326,5.1172,2.3304,M,automatic,25,,WEL(GNS_Primary),2013-07-21T20:43:36.041,POINT (174.27848 -41.632571)
quake.2013p545565,2013p545565,2013-07-21T20:37:02.89,174.214,-41.8063,27.9688,2.6244,M,automatic,16,,WEL(GNS_Primary),2013-07-21T20:40:09.292,POINT (174.21405 -41.806265)
quake.2013p545556,2013p545556,2013-07-21T20:32:18.31,174.4312,-41.5268,11.2695,2.6989,M,automatic,54,,WEL(GNS_Primary),2013-07-21T20:34:51.273,POINT (174.43121 -41.526754)
quake.2013p545549,2013p545549,2013-07-21T20:28:59.69,174.2875,-41.613,5.0586,2.4444,M,automatic,20,,WEL(GNS_Primary),2013-07-21T20:31:00.367,POINT (174.28754 -41.613027)
quake.2013p545547,2013p545547,2013-07-21T20:27:38.798,174.3818,-41.5484,10.8594,2.442,M,automatic,42,,WEL(GNS_Primary),2013-07-21T20:31:29.121,POINT (174.38183 -41.548446)
quake.2013p545540,2013p545540,2013-07-21T20:24:11.839,174.3645,-41.6403,6.4648,2.762,M,automatic,38,,WEL(GNS_Primary),2013-07-21T20:26:47.305,POINT (174.36453 -41.640313)
quake.2013p545535,2013p545535,2013-07-21T20:21:11.95,174.1996,-41.6388,21.4648,2.4463,M,automatic,28,,WEL(GNS_Primary),2013-07-21T20:23:18.95,POINT (174.19962 -41.638803)
quake.2013p545532,2013p545532,2013-07-21T20:19:49.878,174.1863,-41.6816,10.2734,2.456,M,automatic,26,,WEL(GNS_Primary),2013-07-21T20:22:34.713,POINT (174.18629 -41.681579)
quake.2013p545525,2013p545525,2013-07-21T20:15:49.692,174.4581,-41.7029,5.1172,3.6699,M,automatic,86,,WEL(GNS_Primary),2013-07-21T20:20:03.186,POINT (174.45808 -41.702905)
quake.2013p545511,2013p545511,2013-07-21T20:08:44.854,174.3799,-41.6247,5.1172,2.1978,M,automatic,25,,WEL(GNS_Primary),2013-07-21T20:10:52.415,POINT (174.37993 -41.624709)
quake.2013p545504,2013p545504,2013-07-21T20:04:49.167,174.4015,-41.5246,11.7383,2.7652,M,automatic,44,,WEL(GNS_Primary),2013-07-21T20:07:37.429,POINT (174.40148 -41.524628)
quake.2013p545499,2013p545499,2013-07-21T20:01:56.942,174.376,-41.5564,7.8711,2.9498,M,automatic,59,,WEL(GNS_Primary),2013-07-21T20:05:38.38,POINT (174.37604 -41.556408)
quake.2013p545496,2013p545496,2013-07-21T20:00:23.213,174.2121,-41.5084,32.8906,1.9106,M,automatic,12,,WEL(GNS_Primary),2013-07-21T20:02:21.123,POINT (174.2121 -41.508416)
quake.2013p545489,2013p545489,2013-07-21T19:56:40.988,174.2388,-41.557,9.043,2.2474,M,automatic,14,,WEL(GNS_Primary),2013-07-21T19:59:53.829,POINT (174.23879 -41.556957)
quake.2013p545483,2013p545483,2013-07-21T19:54:26.458,174.249,-41.6442,5.1172,2.5352,M,automatic,28,,WEL(GNS_Primary),2013-07-21T19:57:37.276,POINT (174.24898 -41.644216)
quake.2013p545480,2013p545480,2013-07-21T19:51:56.858,174.3541,-41.5693,6.6406,2.0596,M,automatic,12,,WEL(GNS_Primary),2013-07-21T19:53:28.225,POINT (174.35411 -41.569317)
quake.2013p545475,2013p545475,2013-07-21T19:49:10.775,174.3352,-41.5827,5.0586,2.2296,M,automatic,23,,WEL(GNS_Primary),2013-07-21T19:51:16.944,POINT (174.33519 -41.582731)
quake.2013p545472,2013p545472,2013-07-21T19:47:49.963,174.3233,-41.5849,5.5273,2.1016,M,automatic,18,,WEL(GNS_Primary),2013-07-21T19:49:52.67,POINT (174.3233 -41.584884)
quake.2013p545468,2013p545468,2013-07-21T19:45:25.975,174.226,-41.7361,14.4922,1.8464,M,automatic,14,,WEL(GNS_Primary),2013-07-21T19:47:47.886,POINT (174.22605 -41.736132)
quake.2013p545463,2013p545463,2013-07-21T19:42:41.57,174.3227,-41.5838,8.8672,2.3003,M,automatic,28,,WEL(GNS_Primary),2013-07-21T19:45:57.228,POINT (174.32269 -41.583823)
quake.2013p545445,2013p545445,2013-07-21T19:33:44.451,174.4204,-41.5058,10.0391,2.4977,M,automatic,32,,WEL(GNS_Primary),2013-07-21T19:35:55.857,POINT (174.4204 -41.505792)
quake.2013p545437,2013p545437,2013-07-21T19:29:23.32,174.1797,-41.5604,5.1172,3.4858,M,automatic,53,,WEL(GNS_Primary),2013-07-21T19:56:56.716,POINT (174.1797 -41.560432)
quake.2013p545424,2013p545424,2013-07-21T19:22:16.597,174.354,-41.6175,6.4648,3.3024,M,automatic,58,,WEL(GNS_Primary),2013-07-21T19:25:45.257,POINT (174.35399 -41.617482)
quake.2013p545421,2013p545421,2013-07-21T19:20:59.577,174.383,-41.5566,5.0586,3.4242,M,automatic,51,,WEL(GNS_Primary),2013-07-21T19:53:50.74,POINT (174.38295 -41.556611)
quake.2013p545415,2013p545415,2013-07-21T19:17:35.364,174.2238,-41.4504,5.2344,2.6283,M,automatic,21,,WEL(GNS_Primary),2013-07-21T19:20:49.54,POINT (174.2238 -41.450371)
quake.2013p545412,2013p545412,2013-07-21T19:15:33.301,174.2992,-41.5965,9.1016,2.4513,M,automatic,29,,WEL(GNS_Primary),2013-07-21T19:17:49.68,POINT (174.29924 -41.596479)
quake.2013p545406,2013p545406,2013-07-21T19:13:22.432,174.3926,-41.5327,11.5039,2.7708,M,automatic,42,,WEL(GNS_Primary),2013-07-21T19:15:26.998,POINT (174.3926 -41.532707)
quake.2013p545401,2013p545401,2013-07-21T19:09:39.559,174.3342,-41.4951,6.3477,2.0537,M,automatic,15,,WEL(GNS_Primary),2013-07-21T19:12:12.461,POINT (174.33418 -41.495121)
quake.2013p545387,2013p545387,2013-07-21T19:02:37.325,174.2911,-41.6621,13.7891,3.16,M,automatic,62,,WEL(GNS_Primary),2013-07-21T19:06:14.674,POINT (174.29109 -41.662135)
quake.2013p545380,2013p545380,2013-07-21T18:58:44.062,174.3473,-41.5685,23.6914,3.3953,M,automatic,70,,WEL(GNS_Primary),2013-07-21T19:02:25.46,POINT (174.3473 -41.568491)
quake.2013p545377,2013p545377,2013-07-21T18:57:13.849,174.2975,-41.5458,5.0586,2.7634,M,automatic,46,,WEL(GNS_Primary),2013-07-21T18:59:44.683,POINT (174.29747 -41.545755)
quake.2013p545369,2013p545369,2013-07-21T18:53:00.783,174.3075,-41.5139,5.0586,2.0277,M,automatic,19,,WEL(GNS_Primary),2013-07-21T18:54:45.157,POINT (174.30754 -41.513938)
quake.2013p545361,2013p545361,2013-07-21T18:49:02.497,174.2463,-41.6208,18.2422,3.4504,M,automatic,82,,WEL(GNS_Primary),2013-07-21T18:52:58.961,POINT (174.24628 -41.62078)
quake.2013p545356,2013p545356,2013-07-21T18:46:04.833,174.257,-41.59,5.0586,2.6247,M,automatic,24,,WEL(GNS_Primary),2013-07-21T18:49:17.202,POINT (174.25701 -41.590024)
quake.2013p545353,2013p545353,2013-07-21T18:44:09.826,174.424,-41.5555,10.1562,2.2028,M,automatic,19,,WEL(GNS_Primary),2013-07-21T18:46:13.72,POINT (174.42395 -41.555524)
quake.2013p545349,2013p545349,2013-07-21T18:42:26.693,174.2364,-41.6147,10.7422,2.5896,M,automatic,40,,WEL(GNS_Primary),2013-07-21T18:45:34.798,POINT (174.23639 -41.614651)
quake.2013p545345,2013p545345,2013-07-21T18:40:03.197,174.2444,-41.7475,5.1172,2.9504,M,automatic,58,,WEL(GNS_Primary),2013-07-21T18:43:44.364,POINT (174.24445 -41.747516)
quake.2013p545342,2013p545342,2013-07-21T18:38:41.271,174.3569,-41.5398,5.1172,2.1511,M,automatic,18,,WEL(GNS_Primary),2013-07-21T18:40:31.54,POINT (174.3569 -41.539788)
quake.2013p545338,2013p545338,2013-07-21T18:36:23.753,174.2911,-41.5887,8.1641,2.4093,M,automatic,27,,WEL(GNS_Primary),2013-07-21T18:39:31.024,POINT (174.29113 -41.588734)
quake.2013p545331,2013p545331,2013-07-21T18:32:26.79,174.3136,-41.5829,16.1914,3.9341,M,reviewed,28,,WEL(GNS_Primary),2013-07-21T18:47:57.528,POINT (174.31357 -41.58293)
quake.2013p545326,2013p545326,2013-07-21T18:29:50.967,174.3689,-41.5791,5.0586,2.8469,M,automatic,31,,WEL(GNS_Primary),2013-07-21T18:32:54.255,POINT (174.36886 -41.579134)
quake.2013p545322,2013p545322,2013-07-21T18:28:03.555,174.2619,-41.6509,10.1562,3.3291,M,automatic,74,,WEL(GNS_Primary),2013-07-21T18:33:48.961,POINT (174.26188 -41.650851)
quake.2013p545316,2013p545316,2013-07-21T18:24:32.453,174.0159,-41.1164,66.4062,2.5589,M,automatic,10,,WEL(GNS_Primary),2013-07-21T18:26:13.08,POINT (174.01592 -41.116392)
quake.2013p545304,2013p545304,2013-07-21T18:18:12.7,174.323,-41.603,10.0391,2.624,M,automatic,38,,WEL(GNS_Primary),2013-07-21T18:21:40.905,POINT (174.32295 -41.603016)
quake.2013p545301,2013p545301,2013-07-21T18:17:16.871,174.3622,-41.6656,0.057,2.4501,M,automatic,13,,WEL(GNS_Primary),2013-07-21T18:20:43.529,POINT (174.36218 -41.665649)
quake.2013p545297,2013p545297,2013-07-21T18:14:29.049,174.2936,-41.4532,3.8683,2.0447,M,reviewed,10,,WEL(GNS_Primary),2013-07-21T18:30:12.621,POINT (174.29355 -41.453243)
quake.2013p545288,2013p545288,2013-07-21T18:10:06.664,174.3583,-41.5563,11.9727,4.1233,M,reviewed,16,,WEL(GNS_Primary),2013-07-21T18:25:36.889,POINT (174.35833 -41.556304)
quake.2013p545285,2013p545285,2013-07-21T18:08:17.975,174.2528,-41.4725,14.9609,2.3843,M,reviewed,16,,WEL(GNS_Primary),2013-07-21T18:37:50.835,POINT (174.25284 -41.472497)
quake.2013p545278,2013p545278,2013-07-21T18:04:57.507,174.2473,-41.6452,12.207,3.8747,M,reviewed,20,,WEL(GNS_Primary),2013-07-21T18:42:02.441,POINT (174.24729 -41.645209)
quake.2013p545271,2013p545271,2013-07-21T18:00:35.906,174.397,-41.8145,5.1172,3.1385,M,automatic,59,,WEL(GNS_Primary),2013-07-21T18:04:15.584,POINT (174.39697 -41.814546)
quake.2013p545262,2013p545262,2013-07-21T17:55:37.493,174.584,-41.6003,51.4062,2.5267,M,automatic,13,,WEL(GNS_Primary),2013-07-21T17:57:47.886,POINT (174.58401 -41.600266)
quake.2013p545259,2013p545259,2013-07-21T17:54:18.992,174.263,-41.4978,10.0391,2.6401,M,automatic,26,,WEL(GNS_Primary),2013-07-21T17:56:18.332,POINT (174.26295 -41.497819)
quake.2013p545256,2013p545256,2013-07-21T17:52:30.985,174.2694,-41.5998,5.1172,3.0043,M,automatic,45,,WEL(GNS_Primary),2013-07-21T17:55:12.159,POINT (174.26945 -41.599774)
quake.2013p545249,2013p545249,2013-07-21T17:49:06.149,174.2693,-41.6167,5.0586,2.2014,M,automatic,24,,WEL(GNS_Primary),2013-07-21T17:51:17.656,POINT (174.26926 -41.61666)
quake.2013p545245,2013p545245,2013-07-21T17:47:13.911,174.4162,-41.5242,10.332,2.7119,M,automatic,54,,WEL(GNS_Primary),2013-07-21T17:50:39.837,POINT (174.41618 -41.524226)
quake.2013p545242,2013p545242,2013-07-21T17:45:23.856,174.2177,-41.6058,17.0703,2.3829,M,automatic,30,,WEL(GNS_Primary),2013-07-21T17:48:54.379,POINT (174.21766 -41.605759)
quake.2013p545238,2013p545238,2013-07-21T17:43:17.879,174.1533,-41.572,15.0195,2.1593,M,automatic,19,,WEL(GNS_Primary),2013-07-21T17:45:54.501,POINT (174.15331 -41.571959)
quake.2013p545233,2013p545233,2013-07-21T17:40:31.222,174.4218,-41.5175,10.9766,2.4442,M,automatic,42,,WEL(GNS_Primary),2013-07-21T17:42:50.493,POINT (174.42177 -41.51751)
quake.2013p545222,2013p545222,2013-07-21T17:34:22.074,174.234,-41.5996,33.7109,2.1242,M,automatic,18,,WEL(GNS_Primary),2013-07-21T17:36:14.328,POINT (174.234 -41.599566)
quake.2013p545219,2013p545219,2013-07-21T17:33:03.832,174.2831,-41.6327,5.1172,2.0234,M,automatic,14,,WEL(GNS_Primary),2013-07-21T17:34:51.29,POINT (174.28309 -41.632706)
quake.2013p545215,2013p545215,2013-07-21T17:30:47.711,174.8585,-41.5003,27.8516,1.8149,M,automatic,12,,WEL(GNS_Primary),2013-07-21T17:32:50.315,POINT (174.85853 -41.500345)
quake.2013p545211,2013p545211,2013-07-21T17:28:47.395,174.2871,-41.6264,5.0586,2.5355,M,automatic,46,,WEL(GNS_Primary),2013-07-21T17:31:38.333,POINT (174.28711 -41.62636)
quake.2013p545208,2013p545208,2013-07-21T17:26:59.297,174.41,-41.5455,6.7578,1.9128,M,automatic,21,,WEL(GNS_Primary),2013-07-21T17:28:52.377,POINT (174.40999 -41.545521)
quake.2013p545201,2013p545201,2013-07-21T17:23:22.929,174.2893,-41.7372,8.3984,3.3222,M,automatic,81,,WEL(GNS_Primary),2013-07-21T17:27:17.369,POINT (174.28927 -41.737153)
quake.2013p545190,2013p545190,2013-07-21T17:18:18.379,174.3046,-41.6331,7.9883,3.2426,M,automatic,78,,WEL(GNS_Primary),2013-07-21T17:21:57.176,POINT (174.30463 -41.633131)
quake.2013p545185,2013p545185,2013-07-21T17:14:33.479,174.2778,-41.486,5.0586,2.0726,M,automatic,23,,WEL(GNS_Primary),2013-07-21T17:16:31.64,POINT (174.27779 -41.485953)
quake.2013p545179,2013p545179,2013-07-21T17:11:25.072,174.3455,-41.6176,8.5742,2.831,M,automatic,53,,WEL(GNS_Primary),2013-07-21T17:14:52.931,POINT (174.34548 -41.617649)
quake.2013p545174,2013p545174,2013-07-21T17:09:05.049,174.1739,-41.5991,35.7031,1.9863,M,automatic,10,,WEL(GNS_Primary),2013-07-21T17:10:36.305,POINT (174.17393 -41.599051)
quake.2013p545167,2013p545167,2013-07-21T17:05:27.081,174.23,-41.6991,8.0469,2.6143,M,automatic,29,,WEL(GNS_Primary),2013-07-21T17:07:59.913,POINT (174.23001 -41.699129)
quake.2013p545166,2013p545166,2013-07-21T17:04:26.224,174.4013,-41.5313,7.9883,2.2862,M,automatic,32,,WEL(GNS_Primary),2013-07-21T17:06:29.416,POINT (174.40128 -41.531294)
quake.2013p545161,2013p545161,2013-07-21T17:01:55.69,174.2236,-41.5659,20.3516,2.2074,M,automatic,14,,WEL(GNS_Primary),2013-07-21T17:03:49.217,POINT (174.22359 -41.565894)
quake.2013p545158,2013p545158,2013-07-21T17:00:22.572,174.2014,-41.663,5.5273,2.1754,M,automatic,15,,WEL(GNS_Primary),2013-07-21T17:02:28.803,POINT (174.20141 -41.663046)
quake.2013p545155,2013p545155,2013-07-21T16:58:36.425,174.1929,-41.5754,26.0938,2.3297,M,automatic,11,,WEL(GNS_Primary),2013-07-21T17:00:17.311,POINT (174.19288 -41.575417)
quake.2013p545147,2013p545147,2013-07-21T16:54:36.579,174.808,-41.3879,7.6953,3.1219,M,automatic,42,,WEL(GNS_Primary),2013-07-21T16:58:00.185,POINT (174.80799 -41.387945)
quake.2013p545142,2013p545142,2013-07-21T16:52:08.973,174.3948,-41.5442,5.1172,2.1263,M,automatic,14,,WEL(GNS_Primary),2013-07-21T16:54:20.258,POINT (174.39477 -41.544239)
quake.2013p545136,2013p545136,2013-07-21T16:48:58.812,174.2058,-41.5712,10.0391,2.2968,M,automatic,14,,WEL(GNS_Primary),2013-07-21T16:52:10.373,POINT (174.20584 -41.571211)
quake.2013p545128,2013p545128,2013-07-21T16:44:29.827,174.5403,-41.4322,153.5938,2.2541,M,automatic,12,,WEL(GNS_Primary),2013-07-21T16:47:54.91,POINT (174.54031 -41.432176)
quake.2013p545122,2013p545122,2013-07-21T16:41:11.748,174.3778,-41.7131,5.1172,3.3429,M,automatic,84,,WEL(GNS_Primary),2013-07-21T16:45:14.108,POINT (174.37781 -41.71306)
